"A bad rep spreads like wildfire. If I were you, I'd quit all this nonsense. What's the point?",,,,
,gloomy,irritable,timid,upbeat
You're right.,-,-,-,BAD
I don't care.,-,-,-,OK
I don't know any other way.,-,OK,BAD,GOOD
"Ah, it's a shame. If I'd taken this seriously from the start, I wouldn't be in this sorry state.",,,,
,gloomy,irritable,timid,upbeat
Then get serious now.,GOOD,-,-,-
Making excuses?,OK,-,-,-
I wasn't trying either.,BAD,-,-,BAD
"Ah, so I suppose you commit such extreme acts because you know you won't be punished harshly...",,,,
,gloomy,irritable,timid,upbeat
That's not true.,-,GOOD,-,-
Age doesn't matter.,-,-,GOOD,-
This isn't extreme.,GOOD,-,OK,GOOD
"And if that's the case, why don't you just stop this futile endeavor? It's meaningless...",,,,
,gloomy,irritable,timid,upbeat
You have a point there...,-,-,-,-
I can't stop.,-,GOOD,-,-
I'll find meaning in it.,-,-,-,GOOD
Are all the kids these days doin' stuff like this?,,,,
,gloomy,irritable,timid,upbeat
"Yeah, we sure are.",-,-,-,-
"No, I thought this up myself.",-,BAD,-,-
Want to join in?,-,-,OK,-
Are there only men's versions? Where did you get it?,,,,
,gloomy,irritable,timid,upbeat
A thrift shop.,-,GOOD,-,-
Internet shopping.,-,-,-,-
It's not available for sale.,-,-,-,-
Are you bored?,,,,
,gloomy,irritable,timid,upbeat
"Yes, I'm bored.",-,-,-,-
I'm actually pretty busy.,-,-,-,-
I never thought about it.,GOOD,-,-,-
Are you fighting to help or protect the world or something?,,,,
,gloomy,irritable,timid,upbeat
That?s right.,-,-,OK,-
I won't tell you.,-,-,-,-
It pays the bills.,-,-,-,-
"Aren't people as old as you s'posed to go ""dating,"" all the time? Can't you get some dates?",,,,
,gloomy,irritable,timid,upbeat
"Right after this, kid.",-,-,GOOD,BAD
Such a rude little boy...,-,-,-,-
Dating's not important.,-,-,-,-
"As far as you're concerned, what kind of person was I to you?",,,,
,gloomy,irritable,timid,upbeat
My rival.,OK,-,-,-
"Nobody, really.",BAD,-,-,-
It doesn't matter.,GOOD,GOOD,-,-
"...But be-hee-fore all that, let's enjoy a little chat, ho!",,,,
,gloomy,irritable,timid,upbeat
"All right, I suppose.",GOOD,-,-,-
There's no need for that.,-,-,-,-
[...],-,-,-,-
"But is it fair to the others if I find this happiness, leaving them all in the dust?",,,,
,gloomy,irritable,timid,upbeat
I think it's fine.,-,-,-,-
What's wrong with that?,-,-,-,-
You're too self-conscious.,BAD,-,-,-
"But I've been around the block, so I know--there's something else you want from me, isn't there?",,,,
,gloomy,irritable,timid,upbeat
I'm acting on a whim.,-,-,-,-
I love the elderly.,-,-,-,-
